"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1","dist_a","dist_b"
"11668","POAL",3,1,"3_183",0,NA,2010,2012,2,5,1,72,2013,1,5,0,NA,NA,NA
"11669","POAL",3,1,"3_183",0,NA,2010,2013,3,5,0,NA,2014,0,NA,NA,NA,NA,NA
"11670","POAL",3,1,"3_183.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11671","POAL",3,1,"3_184",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11672","POAL",3,1,"3_184.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11673","POAL",3,1,"3_185",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11674","POAL",3,1,"3_185.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11675","POAL",3,1,"3_186",0,NA,2010,2010,0,1,0,NA,2011,0,NA,NA,NA,NA,NA
"11676","POAL",3,1,"3_186.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11677","POAL",3,1,"3_187",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11678","POAL",3,1,"3_187.5",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11679","POAL",3,1,"3_188",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11680","POAL",3,1,"3_188.5",0,NA,2009,2009,0,1,0,NA,2010,1,5,0,NA,NA,NA
"11681","POAL",3,1,"3_188.5",0,NA,2009,2010,1,5,0,NA,2011,1,3,0,NA,NA,NA
"11682","POAL",3,1,"3_188.5",0,NA,2009,2011,2,3,0,NA,2012,1,4,0,NA,NA,NA
